cohort,cohort_years,afqtgrp,y1_emp,y5_emp,y10_emp,y1_nonemp,y5_nonemp,y10_nonemp,y1_p25_earnings,y5_p25_earnings,y10_p25_earnings,y1_p50_earnings,y5_p50_earnings,y10_p50_earnings,y1_p75_earnings,y5_p75_earnings,y10_p75_earnings,status_y1_emp,status_y5_emp,status_y10_emp,status_y1_nonemp,status_y5_nonemp,status_y10_nonemp,status_y1_earn,status_y5_earn,status_y10_earn
2000,2,A1,5281,5724,5312,3040,2632,2974,23740,30330,35640,33570,42750,49680,45020,58140,69450,1,1,1,1,1,1,1,1,1
2000,2,A2,28400,31800,30260,18910,15360,16650,23350,29830,35790,33120,42710,51060,45530,59320,72100,1,1,1,1,1,1,1,1,1
2000,2,A3,17500,19640,19460,11260,9099,9131,25070,32530,40740,36870,48080,59280,52450,68510,84910,1,1,1,1,1,1,1,1,1
2002,2,A1,4003,4687,4450,3298,2575,2781,22090,28630,32480,32120,41780,46700,45270,58050,66850,1,1,1,1,1,1,1,1,1
2002,2,A2,20810,25730,25080,19260,14150,14670,21320,28160,33380,30660,41250,48120,43010,57160,68740,1,1,1,1,1,1,1,1,1
2002,2,A3,11700,15070,15230,11050,7607,7306,22750,31540,38670,33940,46450,56010,50020,66500,80900,1,1,1,1,1,1,1,1,1
2004,2,A1,5292,5077,5201,3472,3546,3405,23840,32960,34810,36120,47470,49580,51760,66740,70060,1,1,1,1,1,1,1,1,1
2004,2,A2,29070,28750,31300,20810,20860,18140,22090,31960,35340,32970,46070,50910,47770,65250,72330,1,1,1,1,1,1,1,1,1
2004,2,A3,16200,17060,18880,11930,10950,9084,24060,35760,41110,37300,52140,59940,57640,76200,85740,1,1,1,1,1,1,1,1,1
2006,2,A1,3869,3806,,2716,2857,,23920,33130,,36360,46720,,52300,67040,,1,1,-1,1,1,-1,1,1,-1
2006,2,A2,25240,24780,,18020,18330,,23780,31920,,34940,46130,,50300,66520,,1,1,-1,1,1,-1,1,1,-1
2006,2,A3,15560,16280,,11640,10810,,25200,35130,,39020,52340,,59970,76670,,1,1,-1,1,1,-1,1,1,-1
2008,2,A1,2588,3467,,4054,3185,,26680,28320,,39140,41600,,57870,60100,,1,1,-1,1,1,-1,1,1,-1
2008,2,A2,15980,22260,,24070,17610,,26250,29570,,39500,43050,,59050,62530,,1,1,-1,1,1,-1,1,1,-1
2008,2,A3,10890,15820,,16050,11010,,28100,32930,,45110,48760,,70860,71960,,1,1,-1,1,1,-1,1,1,-1
2010,2,A1,2744,2092,,5791,1952,,22540,26150,,33440,37550,,51840,52760,,1,1,-1,1,1,-1,1,1,-1
2010,2,A2,16740,12300,,31780,9977,,23340,28510,,35380,41730,,56360,59990,,1,1,-1,1,1,-1,1,1,-1
2010,2,A3,11100,8625,,20120,6346,,25900,32070,,41410,47230,,69120,68990,,1,1,-1,1,1,-1,1,1,-1
2012,2,A1,4013,,,7420,,,20870,,,29250,,,42200,,,1,-1,-1,1,-1,-1,1,-1,-1
2012,2,A2,25880,,,41680,,,21770,,,31440,,,45790,,,1,-1,-1,1,-1,-1,1,-1,-1
2012,2,A3,15020,,,23790,,,23120,,,34830,,,52550,,,1,-1,-1,1,-1,-1,1,-1,-1
2014,2,A1,2052,,,3158,,,21340,,,30700,,,41910,,,1,-1,-1,1,-1,-1,1,-1,-1
2014,2,A2,14060,,,18560,,,22170,,,32040,,,44780,,,1,-1,-1,1,-1,-1,1,-1,-1
2014,2,A3,8539,,,11070,,,23930,,,35620,,,52200,,,1,-1,-1,1,-1,-1,1,-1,-1
